2026-03-31 11:38, LIPSA STOC
2026-03-31 18:18, LIPSA STOC
2026-03-31 20:04, LIPSA STOC
2026-04-01 12:00, LIPSA STOC
2026-04-01 20:08, LIPSA STOC
2026-04-02 11:35, LIPSA STOC
2026-04-02 20:02, LIPSA STOC
2026-04-03 11:26, LIPSA STOC
2026-04-03 19:56, LIPSA STOC
2026-04-04 10:55, LIPSA STOC
2026-04-04 19:46, LIPSA STOC
2026-04-05 10:58, LIPSA STOC
2026-04-05 19:50, LIPSA STOC
2026-04-06 11:38, LIPSA STOC
2026-04-06 20:04, LIPSA STOC
2026-04-07 12:00, LIPSA STOC
2026-04-07 20:06, LIPSA STOC
2026-04-08 12:02, LIPSA STOC
2026-04-08 20:08, LIPSA STOC
2026-04-09 12:02, LIPSA STOC
2026-04-09 20:36, LIPSA STOC
2026-04-10 11:37, LIPSA STOC
2026-04-10 19:59, LIPSA STOC
2026-04-11 10:59, LIPSA STOC
2026-04-11 19:52, LIPSA STOC
2026-04-12 11:08, LIPSA STOC
2026-04-12 19:55, LIPSA STOC
2026-04-13 12:12, LIPSA STOC
2026-04-13 21:10, LIPSA STOC
2026-04-14 12:09, LIPSA STOC
2026-04-14 21:09, LIPSA STOC
2026-04-15 12:05, LIPSA STOC
2026-04-15 20:31, LIPSA STOC
2026-04-16 12:11, LIPSA STOC
2026-04-16 20:11, LIPSA STOC
2026-04-17 12:02, LIPSA STOC
2026-04-17 20:09, LIPSA STOC
2026-04-18 11:10, LIPSA STOC
2026-04-18 19:55, LIPSA STOC
2026-04-19 11:10, LIPSA STOC
2026-04-19 19:56, LIPSA STOC
2026-04-20 12:15, LIPSA STOC
2026-04-20 20:11, LIPSA STOC
2026-04-21 12:10, LIPSA STOC
2026-04-21 20:37, LIPSA STOC
2026-04-22 12:10, LIPSA STOC
2026-04-22 21:11, LIPSA STOC
2026-04-23 12:10, LIPSA STOC
2026-04-23 21:09, LIPSA STOC
2026-04-24 12:06, LIPSA STOC
2026-04-24 20:10, LIPSA STOC
